net,length_um
cfg_tx_size_o[1],51.38µm
net208,51.06µm
cfg_tx_bytes_left_i[3],51.025µm
_0327_,51.01µm
_0852_,51.01µm
net82,50.96µm
net379,50.96µm
cfg_data_i[12],50.87µm
_0668_,50.45µm
cfg_data_o[21],50.415µm
_0844_,50.4µm
cfg_rx_curr_addr_i[3],49.905µm
net159,49.84µm
net222,49.84µm
net274,49.84µm
_0332_,49.38µm
u_dc_fifo_rx.u_din.buffer.data\[13\],49.38µm
clknet_5_30__leaf_periph_clk_i,49.38µm
cfg_data_o[24],49.345µm
r_status_sync\[2\],49.33µm
data_rx_o[2],49.295µm
net332,49.28µm
cfg_rx_size_o[12],49.14µm
cfg_rx_bytes_left_i[13],48.835µm
net167,48.82µm
_0700_,48.77µm
net210,48.77µm
net105,48.77µm
u_dc_fifo_rx.u_din.buffer.data\[21\],48.77µm
_0812_,48.72µm
net140,48.72µm
data_rx_ready_i,48.58µm
_0292_,48.31µm
cfg_data_i[27],48.225µm
_0306_,48.21µm
net55,48.21µm
s_uart_div\[15\],48.21µm
_0372_,48.16µm
_0452_,47.75µm
cfg_rx_bytes_left_i[15],47.665µm
cfg_data_o[0],47.665µm
_0622_,47.65µm
net187,47.65µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[3\],47.65µm
clknet_4_7_0_periph_clk_i,47.65µm
net281,47.6µm
net495,47.46µm
data_tx_i[4],47.46µm
_0661_,47.19µm
u_uart_rx.baud_cnt\[2\],47.19µm
net136,47.09µm
net93,47.04µm
net194,47.04µm
clknet_5_7__leaf_periph_clk_i,46.63µm
_0430_,46.58µm
u_dc_fifo_tx.u_din.write_token\[1\],46.58µm
u_uart_tx.baud_cnt\[6\],46.58µm
_0701_,46.48µm
_0838_,46.48µm
net284,46.48µm
net370,46.48µm
cfg_data_i[14],46.34µm
net78,46.02µm
u_dc_fifo_tx.u_din.full.full_synch.d_in\[0\],45.97µm
cfg_data_i[30],45.935µm
net391,45.92µm
_0307_,45.46µm
cfg_rx_bytes_left_i[12],45.375µm
net14,45.36µm
net243,45.36µm
cfg_data_i[15],45.22µm
s_uart_div\[2\],44.95µm
_0634_,44.9µm
net46,44.9µm
u_uart_tx.baud_cnt\[7\],44.9µm
clknet_4_15_0_periph_clk_i,44.9µm
net217,44.85µm
u_dc_fifo_tx.u_din.buffer.data\[5\],44.85µm
cfg_tx_bytes_left_i[14],44.815µm
net62,44.8µm
_0479_,44.29µm
i_ep_event.i_sync_clkb.i_pulp_sync.r_reg\[1\],44.29µm
u_uart_tx.baud_cnt\[9\],44.29µm
_0220_,44.24µm
_0390_,44.24µm
_0764_,44.24µm
net77,44.24µm
data_tx_i[2],44.1µm
s_uart_div\[14\],43.78µm
cfg_data_o[30],43.745µm
cfg_data_o[22],43.745µm
cfg_data_o[29],43.695µm
_0561_,43.22µm
_0716_,43.22µm
u_dc_fifo_rx.u_dout.empty_synch.d_out\[2\],43.22µm
_0722_,43.17µm
net58,43.17µm
net175,43.17µm
net97,43.17µm
u_dc_fifo_tx.u_din.buffer.data\[26\],43.17µm
cfg_data_o[4],43.135µm
net108,43.12µm
data_tx_i[6],42.98µm
net196,42.71µm
_0541_,42.66µm
net149,42.66µm
clknet_4_13_0_periph_clk_i,42.66µm
_0671_,42.61µm
net35,42.61µm
net60,42.61µm
net164,42.61µm
net87,42.61µm
net88,42.61µm
r_uart_stop_bits,42.61µm
u_fifo.i_fifo.buffer\[1\]\[5\],42.61µm
net325,42.61µm
cfg_data_o[5],42.575µm
clknet_4_3_0_periph_clk_i,42.05µm
net206,42µm
net376,42µm
u_dc_fifo_tx.u_dout.read_token\[0\],41.59µm
net468,41.59µm
_0453_,41.49µm
r_uart_en_rx_sync\[2\],41.49µm
clknet_4_6_0_periph_clk_i,41.49µm
cfg_data_o[20],41.455µm
_0389_,41.44µm
net70,41.44µm
u_fifo.i_fifo.buffer\[1\]\[3\],41.44µm
net312,41.44µm
_0454_,41.03µm
u_fifo.i_fifo.buffer\[1\]\[1\],41.03µm
clknet_5_1__leaf_periph_clk_i,41.03µm
_0385_,40.98µm
_0501_,40.98µm
i_ep_event.i_sync_clkb.i_pulp_sync.serial_i,40.98µm
clknet_4_13_0_sys_clk_i,40.98µm
_0684_,40.93µm
r_uart_en_rx_sync\[1\],40.93µm
u_uart_tx.reg_data\[7\],40.93µm
clknet_4_0_0_periph_clk_i,40.93µm
cfg_tx_clr_o,40.74µm
net162,40.42µm
u_dc_fifo_tx.u_din.buffer.data\[28\],40.42µm
_0360_,40.37µm
u_dc_fifo_rx.u_din.buffer.data\[25\],40.37µm
u_uart_tx.baud_cnt\[11\],40.37µm
net381,40.37µm
cfg_rx_curr_addr_i[9],40.28µm
cfg_rx_continuous_o,40.18µm
_0742_,39.91µm
_0521_,39.86µm
_0762_,39.81µm
cfg_data_o[1],39.775µm
data_rx_o[5],39.775µm
net203,39.76µm
net110,39.76µm
s_uart_div\[12\],39.76µm
net237,39.76µm
cfg_rx_bytes_left_i[7],39.67µm
u_fifo.i_fifo.buffer\[1\]\[2\],39.35µm
net9,39.3µm
_0727_,39.25µm
net135,39.25µm
net8,38.79µm
net543,38.79µm
u_uart_rx.baud_cnt\[12\],38.74µm
u_fifo.i_fifo.buffer\[1\]\[6\],38.69µm
u_uart_tx.baud_cnt\[3\],38.69µm
net239,38.69µm
net311,38.69µm
net537,38.69µm
cfg_tx_bytes_left_i[13],38.655µm
net118,38.64µm
net313,38.64µm
cfg_tx_startaddr_o[1],38.5µm
_0342_,38.13µm
u_dc_fifo_tx.u_din.buffer.data\[17\],38.13µm
clknet_4_14_0_sys_clk_i,38.13µm
clknet_4_8_0_periph_clk_i,38.13µm
u_dc_fifo_rx.u_din.buffer.data\[16\],38.08µm
_0788_,37.62µm
net172,37.62µm
